"Company","Valuation(US$ billions)","Valuation date","Industry","Country/countries","Founder(s)","Valuation date_date","Selected (JavaScript Tag Cloud)","prediction","Selected (JavaScript Tag Cloud) (#1)"
"Taihe Music Group",1.7,"01 June 2018",,"China",,"2018-06-01",,,
"Caocao Zhuanche",1.6,"01 January 2018",,"China",,"2018-01-01",,,
"CureFit",1.56,"01 November 2021",,"India","Mukesh Bansal, Ankit Nagori","2021-11-01",,,
"HeartFlow",1.5,"01 February 2018",,"US",,"2018-02-01",,,
"Aihuishou",1.5,"01 January 2018",,"China",,"2018-01-01",,,
"Spring Rain Software",1.5,"01 June 2016",,"China",,"2016-06-01",,,
"Tujia.com",1.5,"01 October 2017",,"China",,"2017-10-01",,,
"ZBJ.com",1.5,"01 June 2015",,"China",,"2015-06-01",,,
"Hellobike",1.47,"01 June 2018",,"China",,"2018-06-01",,,
"Koudai Gouwu",1.45,"01 October 2014",,"China",,"2014-10-01",,,
"Zetwerk",1.33,"01 August 2021",,"India",,"2021-08-01",,,
"GPClub",1.32,"01 December 2018",,"South Korea",,"2018-12-01",,,
"ETCP",1.3,"01 October 2016",,"China",,"2016-10-01",,,
"Knotel",1.3,"01 August 2019",,"US",,"2019-08-01",,,
"Kr Space",1.3,"01 June 2018",,"China",,"2018-06-01",,,
"Deel",1.25,"01 April 2021",,"Israel / US",,"2021-04-01",,,
"ezCater",1.25,"01 April 2019",,"US","Stefania Mallett, Briscoe Rodgers","2019-04-01",,,
"Iwjw",1.25,"01 November 2015",,"China",,"2015-11-01",,,
"Dada",1.2,"01 August 2018",,"China",,"2018-08-01",,,
"Deutsche Health",1.2,"01 August 2020",,"Germany / Russia",,"2020-08-01",,,
"Fair",1.2,"01 December 2018",,"US",,"2018-12-01",,,
"Glossier",1.2,"01 March 2019",,"US",,"2019-03-01",,,
"Apna",1.1,"01 September 2021",,"India",,"2021-09-01",,,
"GlobalBees",1.1,"01 December 2021",,"India",,"2021-12-01",,,
"Luoji Siwei",1.1,"01 September 2017",,"China",,"2017-09-01",,,
"SmartNews",1.1,"01 August 2019",,"Japan",,"2019-08-01",,,
"Trax",1.1,"01 May 2019",,"Singapore / Israel",,"2019-05-01",,,
"Aprogen",1.04,"01 December 2019",,"South Korea",,"2019-12-01",,,
"58 Daojia",1,"01 October 2015",,"China",,"2015-10-01",,,
"AppDirect",1,"01 October 2015",,"US",,"2015-10-01",,,
"Chubao Technology",1,"01 May 2017",,"China",,"2017-05-01",,,
"Dt Dream",1,"01 June 2017",,"China",,"2017-06-01",,,
"DXY",1,"01 April 2018",,"China",,"2018-04-01",,,
"Frontline Education",1,"01 September 2017",,"US",,"2017-09-01",,,
"FXiaoKe",1,"01 January 2018",,"China",,"2018-01-01",,,
"Gelato",1,"01 August 2021",,"Norway",,"2021-08-01",,,
"Grove Collaborative",1,"01 September 2019",,"US",,"2019-09-01",,,
"Huikedu Group",1,"01 May 2018",,"China",,"2018-05-01",,,
"InVision",1,"01 November 2017",,"US",,"2017-11-01",,,
"Ivalua",1,"01 May 2020",,"France",,"2020-05-01",,,
"Jollychic",1,"01 May 2018",,"China",,"2018-05-01",,,
"Klook",1,"01 April 2019",,"Hong Kong",,"2019-04-01",,,
"Lamabang",1,"01 February 2017",,"China",,"2017-02-01",,,
"LinkSure Network (WiFi Master Key)",1,"01 January 2015",,"China",,"2015-01-01",,,
"Maimai",1,"01 August 2018",,"China",,"2018-08-01",,,
"Mia.com",1,"01 October 2016",,"China",,"2016-10-01",,,
"MindMaze",1,"01 February 2016",,"Switzerland",,"2016-02-01",,,
"Mofang Apartment",1,"01 April 2016",,"China",,"2016-04-01",,,
"Morning Consult",1,"01 June 2021",,"US",,"2021-06-01",,,
"NoBroker",1,"01 November 2021",,"India","Akhil Gupta, Amit Agarwal, Saurabh Garg","2021-11-01",,,
"Shippo",1,"01 June 2021",,"US","Laura Behrens Wu, Simon Kreuz","2021-06-01",,,
"SoundHound",1,"01 May 2018",,"US",,"2018-05-01",,,
"Tongdun Technology",1,"01 October 2017",,"China",,"2017-10-01",,,
"Tresata",1,"01 October 2018",,"US",,"2018-10-01",,,
"VTS",1,"01 May 2019",,"US",,"2019-05-01",,,
"Wacai.com",1,"01 July 2018",,"China",,"2018-07-01",,,
"Womai",1,"01 October 2015",,"China",,"2015-10-01",,,
"Xiaozhu.com",1,"01 November 2017",,"China",,"2017-11-01",,,
"Yidian Zixun",1,"01 October 2017",,"China",,"2017-10-01",,,
"Yitu Technology",1,"01 July 2018",,"China",,"2018-07-01",,,
"Zhaogang.com",1,"01 July 2017",,"China",,"2017-07-01",,,
"Zhuanzhuan",1,"01 April 2017",,"China",,"2017-04-01",,,
"Zuoyebang",1,"01 July 2018",,"China",,"2018-07-01",,,
"Voi",1,"01 April 2022",,"Sweden",,"2022-04-01",,,
